date,forecast_mwh,actual_mwh,imbalance_mwh,absolute_imbalance_mwh
2024-01-01,131.75296,134.32253777,2.56957777,2.56957777
2024-01-02,136.105633,137.29223247,1.18659947,1.20751735
2024-01-03,136.262503,138.86763115,2.60512815,2.6051281499999996
2024-01-04,136.407123,135.49754076,-0.90958224,1.08271102
2024-01-05,136.539283,133.32485619,-3.21442681,3.21442681
2024-01-06,147.670857,145.49399617,-2.17686083,2.2036876899999998
2024-01-07,132.628588,132.10967077,-0.51891723,0.70729247
2024-01-08,136.868668,138.62686854,1.75820054,1.75820054
2024-01-09,136.95593,138.9657149,2.0097849,2.0363058
2024-01-10,137.032729,134.96052739,-2.07220161,2.07906497
2024-01-11,137.097829,137.28453829,0.18670929,1.25282263
2024-01-12,137.152324,136.07400762,-1.07831638,1.1649578
2024-01-13,148.275113,146.80340061,-1.47171239,1.58911451
2024-01-14,133.110344,134.79731999,1.68697599,1.68716541
2024-01-15,137.253264,137.89883597,0.64557197,1.0976165500000001
2024-01-16,137.265724,139.53990128,2.27417728,2.27417728
2024-01-17,137.269259,141.60320658,4.33394758,4.33394758
2024-01-18,137.263134,142.83967292,5.57653892,5.57653892
2024-01-19,137.247174,142.46752459,5.22035059,5.220350590000001
2024-01-20,148.304408,148.16935321,-0.13505478999999998,0.8615088900000001
2024-01-21,133.066244,133.86591613,0.79967213,0.88874531
2024-01-22,137.143434,136.21391494,-0.92951906,1.00814976
2024-01-23,137.090934,135.48425185,-1.60668215,1.6751938100000001
2024-01-24,137.029159,136.63787092,-0.39128808,0.62824054
2024-01-25,136.958669,134.00292322,-2.95574578,2.95574578
2024-01-26,136.880164,136.06699063,-0.81317337,1.0142281899999999
2024-01-27,147.819623,148.53467741,0.71505441,0.93391385
2024-01-28,132.552374,130.24524999,-2.30712401,2.3077518900000005
2024-01-29,136.594424,137.20940988,0.61498588,0.9717868000000001
2024-01-30,136.483054,138.17109419,1.68804019,1.70029959
2024-01-31,136.364229,139.88052336,3.51629436,3.51902556
2024-02-01,136.237494,139.6488617,3.4113677,3.4113676999999996
2024-02-02,136.103549,139.31313795,3.20958895,3.2095889499999997
2024-02-03,146.881203,151.20503286,4.32382986,4.32382986
2024-02-04,131.622984,134.481292,2.858308,2.858308
2024-02-05,135.657194,136.43977313,0.78257913,1.01040017
2024-02-06,135.494759,138.13189315,2.63713415,2.6371341500000005
2024-02-07,135.325184,140.22118069,4.89599669,4.89599669
2024-02-08,135.14934399999999,139.0772602,3.9279162,3.9279162000000003
2024-02-09,134.967169,134.69604331,-0.27112569000000003,0.79277587
2024-02-10,145.544413,142.46575599,-3.07865701,3.07865701
2024-02-11,130.330644,130.99070431,0.66006031,0.79141525
2024-02-12,134.381479,138.70647614,4.32499714,4.32499714
2024-02-13,134.174524,137.013997,2.839473,2.839473
2024-02-14,133.962284,136.44359397,2.48130997,2.48130997
2024-02-15,133.743569,137.33166366,3.58809466,3.58809466
2024-02-16,133.519499,136.54598548,3.02648648,3.02648648
2024-02-17,143.864133,150.82435622,6.96022322,6.9602232200000005
2024-02-18,128.725089,133.18134064,4.45625164,4.4562516400000005
2024-02-19,132.815264,131.43699506,-1.3782689399999999,1.4968331799999999
2024-02-20,132.570789,130.61581101,-1.95497799,1.96104389
2024-02-21,132.320749,131.72221563,-0.59853337,1.07123807
2024-02-22,132.066334,130.59702229,-1.46931171,1.4727326500000002
2024-02-23,131.806739,131.50222107,-0.30451793,0.83441071
2024-02-24,141.891428,142.11694592999999,0.22551793,1.25633495
2024-02-25,126.854269,129.02157284,2.16730384,2.1673038399999998
2024-02-26,131.002334,128.08234935,-2.91998465,2.9216932900000003
2024-02-27,130.726429,126.46551025,-4.26091875,4.26091875
2024-02-28,130.446219,126.9002431,-3.5459759,3.5459758999999997
2024-02-29,130.161494,128.42063407,-1.74085993,1.74085993
2024-03-01,129.873304,129.63639604,-0.23690796,0.69264656
2024-03-02,139.675893,138.45619469,-1.21969831,1.27663389
2024-03-03,124.765504,120.86312297,-3.90238103,3.90238103
2024-03-04,128.988084,128.45124054,-0.53684346,0.80894358
2024-03-05,128.686349,130.84838746,2.16203846,2.1620384599999998
2024-03-06,128.381044,130.8431823,2.4621383,2.4621383000000003
2024-03-07,128.072939,132.27420777,4.20126877,4.20126877
2024-03-08,123.16288899999999,126.3137928,3.1509038,3.1509038
2024-03-09,137.266703,142.86150764,5.59480464,5.59480464
2024-03-10,122.500549,125.50023954,2.99969054,2.9996905400000005
2024-03-11,126.811714,128.29553245,1.48381845,1.48803029
2024-03-12,126.490519,125.77250412,-0.71801488,0.92824902
2024-03-13,126.166349,127.0715173,0.9051683,1.1053136399999999
2024-03-14,125.839729,123.99943415,-1.84029485,1.86292355
2024-03-15,125.511254,122.41029625,-3.10095775,3.10095775
2024-03-16,134.706278,131.68142664,-3.02485136,3.0260318799999997
2024-03-17,120.101649,119.71483422,-0.38681478,0.7380625599999999
2024-03-18,124.514174,126.69996863,2.18579463,2.18579463
2024-03-19,124.178594,125.24213068,1.06353668,1.12502322
2024-03-20,123.840179,123.68688831,-0.15329069,0.9690817700000001
2024-03-21,127.512001,129.11023736,1.59823636,1.6100553199999998
2024-03-22,127.153181,129.70824305,2.55506205,2.55699169
2024-03-23,136.124064,134.45830224,-1.66576176,1.76187986
2024-03-24,120.427401,121.7134855,1.2860845,1.30063462
2024-03-25,126.067761,127.63489714,1.56713614,1.56713614
2024-03-26,125.704391,125.81403522,0.10964421999999999,0.8781819200000001
2024-03-27,125.339096,128.03722806,2.69813206,2.69813206
2024-03-28,124.972716,126.73626673,1.76355073,2.07239443
2024-03-29,118.552976,123.21576726,4.66279126,4.6627912600000005
2024-03-30,133.269744,140.99845877,7.72871477,7.72871477
2024-03-31,115.580953,119.65149697,4.07054397,4.07054397
2024-04-01,117.419011,120.5633402,3.1443292,3.1443292000000005
2024-04-02,123.135111,123.26429894,0.12918794,0.8410669799999999
2024-04-03,122.766106,123.76868365,1.00257765,1.11929523
2024-04-04,122.398046,122.96393017,0.56588417,0.72690103
2024-04-05,122.028971,124.73357247,2.70460147,2.70460147
2024-04-06,130.386164,130.61953875,0.23337475,0.75198915
2024-04-07,115.146076,114.00475334000001,-1.14132266,1.1424568599999998
2024-04-08,120.922901,117.31465206,-3.60824894,3.60824894
2024-04-09,120.554736,118.6933111,-1.8614249,1.9421704599999998
2024-04-10,120.186536,118.39111932,-1.79541668,1.79541668
2024-04-11,119.819526,120.19525185,0.37572585,0.73878183
2024-04-12,119.453146,120.19329106,0.74014506,1.06187008
2024-04-13,127.509444,128.13685688,0.6274128800000001,0.88034804
2024-04-14,112.507496,113.51880781,1.01131181,1.01868857
