timestamp,shape_factor_raw,month,hour,weekday,is_peak,year,shape_factor_annual_norm
2027-01-01 00:00:00,1.1600156057987032,1,0,4,0,2027,1.14619787195343
2027-01-01 01:00:00,1.1601407373135695,1,1,4,0,2027,1.1463215129418247
2027-01-01 02:00:00,1.1608074784890472,1,2,4,0,2027,1.1469803121102635
2027-01-01 03:00:00,1.1633598330174393,1,3,4,0,2027,1.1495022638101282
2027-01-01 04:00:00,1.1704972887668863,1,4,4,0,2027,1.1565547004758792
2027-01-01 05:00:00,1.1848260351703694,1,5,4,0,2027,1.1707127674478528
2027-01-01 06:00:00,1.2040872044274422,1,6,4,0,2027,1.1897445038343568
2027-01-01 07:00:00,1.2167802483651338,1,7,4,0,2027,1.2022863523036937
2027-01-01 08:00:00,1.2065376360375848,1,8,4,1,2027,1.1921657466890847
2027-01-01 09:00:00,1.1656866642373247,1,9,4,1,2027,1.1518013785628054
2027-01-01 10:00:00,1.1041409676717915,1,10,4,1,2027,1.090988794595252
2027-01-01 11:00:00,1.0431746117634648,1,11,4,1,2027,1.0307486503648084
2027-01-01 12:00:00,1.0025127976320947,1,12,4,1,2027,0.9905711867219358
2027-01-01 13:00:00,0.9941052654132749,1,13,4,1,2027,0.9822638023303646
2027-01-01 14:00:00,1.0231381803027262,1,14,4,1,2027,1.0109508864493593
2027-01-01 15:00:00,1.088991721640577,1,15,4,1,2027,1.0760200015239543
2027-01-01 16:00:00,1.1829708685484606,1,16,4,1,2027,1.168879698975738
2027-01-01 17:00:00,1.2858611688627795,1,17,4,1,2027,1.2705444030326474
2027-01-01 18:00:00,1.3707161667183874,1,18,4,1,2027,1.3543886353692838
2027-01-01 19:00:00,1.4132817964833728,1,19,4,1,2027,1.3964472370045538
2027-01-01 20:00:00,1.4047963773361531,1,20,4,0,2027,1.3880628934486932
2027-01-01 21:00:00,1.3568581350378008,1,21,4,0,2027,1.3406956761173996
2027-01-01 22:00:00,1.2934499983038832,1,22,4,0,2027,1.2780428367714085
2027-01-01 23:00:00,1.2366880696683396,1,23,4,0,2027,1.2219570380245575
2027-01-02 00:00:00,1.1020156057987032,1,0,5,0,2027,1.0888887493511303
2027-01-02 01:00:00,1.1021407373135694,1,1,5,0,2027,1.0890123903395248
2027-01-02 02:00:00,1.1028074784890471,1,2,5,0,2027,1.0896711895079636
2027-01-02 03:00:00,1.1053598330174392,1,3,5,0,2027,1.0921931412078285
2027-01-02 04:00:00,1.1124972887668862,1,4,5,0,2027,1.0992455778735792
2027-01-02 05:00:00,1.1268260351703694,1,5,5,0,2027,1.113403644845553
2027-01-02 06:00:00,1.1460872044274422,1,6,5,0,2027,1.132435381232057
2027-01-02 07:00:00,1.1587802483651337,1,7,5,0,2027,1.144977229701394
2027-01-02 08:00:00,1.1485376360375847,1,8,5,0,2027,1.1348566240867848
2027-01-02 09:00:00,1.1076866642373246,1,9,5,0,2027,1.0944922559605055
2027-01-02 10:00:00,1.0461409676717914,1,10,5,0,2027,1.0336796719929524
2027-01-02 11:00:00,0.9851746117634648,1,11,5,0,2027,0.9734395277625086
2027-01-02 12:00:00,0.9445127976320946,1,12,5,0,2027,0.9332620641196359
2027-01-02 13:00:00,0.9361052654132749,1,13,5,0,2027,0.9249546797280648
2027-01-02 14:00:00,0.9651381803027261,1,14,5,0,2027,0.9536417638470596
2027-01-02 15:00:00,1.0309917216405768,1,15,5,0,2027,1.0187108789216544
2027-01-02 16:00:00,1.1249708685484605,1,16,5,0,2027,1.111570576373438
2027-01-02 17:00:00,1.2278611688627794,1,17,5,0,2027,1.2132352804303475
2027-01-02 18:00:00,1.3127161667183873,1,18,5,0,2027,1.297079512766984
2027-01-02 19:00:00,1.3552817964833728,1,19,5,0,2027,1.3391381144022538
2027-01-02 20:00:00,1.346796377336153,1,20,5,0,2027,1.3307537708463932
2027-01-02 21:00:00,1.2988581350378008,1,21,5,0,2027,1.2833865535150997
2027-01-02 22:00:00,1.2354499983038831,1,22,5,0,2027,1.2207337141691088
2027-01-02 23:00:00,1.1786880696683395,1,23,5,0,2027,1.1646479154222578
2027-01-03 00:00:00,1.1020156057987032,1,0,6,0,2027,1.0888887493511303
2027-01-03 01:00:00,1.1021407373135694,1,1,6,0,2027,1.0890123903395248
2027-01-03 02:00:00,1.1028074784890471,1,2,6,0,2027,1.0896711895079636
2027-01-03 03:00:00,1.1053598330174392,1,3,6,0,2027,1.0921931412078285
2027-01-03 04:00:00,1.1124972887668862,1,4,6,0,2027,1.0992455778735792
2027-01-03 05:00:00,1.1268260351703694,1,5,6,0,2027,1.113403644845553
2027-01-03 06:00:00,1.1460872044274422,1,6,6,0,2027,1.132435381232057
2027-01-03 07:00:00,1.1587802483651337,1,7,6,0,2027,1.144977229701394
2027-01-03 08:00:00,1.1485376360375847,1,8,6,0,2027,1.1348566240867848
2027-01-03 09:00:00,1.1076866642373246,1,9,6,0,2027,1.0944922559605055
2027-01-03 10:00:00,1.0461409676717914,1,10,6,0,2027,1.0336796719929524
2027-01-03 11:00:00,0.9851746117634648,1,11,6,0,2027,0.9734395277625086
2027-01-03 12:00:00,0.9445127976320946,1,12,6,0,2027,0.9332620641196359
2027-01-03 13:00:00,0.9361052654132749,1,13,6,0,2027,0.9249546797280648
2027-01-03 14:00:00,0.9651381803027261,1,14,6,0,2027,0.9536417638470596
2027-01-03 15:00:00,1.0309917216405768,1,15,6,0,2027,1.0187108789216544
2027-01-03 16:00:00,1.1249708685484605,1,16,6,0,2027,1.111570576373438
2027-01-03 17:00:00,1.2278611688627794,1,17,6,0,2027,1.2132352804303475
2027-01-03 18:00:00,1.3127161667183873,1,18,6,0,2027,1.297079512766984
2027-01-03 19:00:00,1.3552817964833728,1,19,6,0,2027,1.3391381144022538
