timestamp_utc,timestamp_local,hb_actual_mwh,gb_actual_mwh,lb_actual_mwh,total_actual_mwh
2023-12-31T23:00:00Z,2024-01-01T00:00:00+01:00,0.96381101,0.09526942,0.03471054,1.09379097
2023-12-31T23:15:00Z,2024-01-01T00:15:00+01:00,0.89228778,0.09153751,0.03448356,1.01830885
2023-12-31T23:30:00Z,2024-01-01T00:30:00+01:00,0.82539869,0.08803133,0.03387671,0.94730672
2023-12-31T23:45:00Z,2024-01-01T00:45:00+01:00,0.76216789,0.08501315,0.0335712,0.88075223
2024-01-01T00:00:00Z,2024-01-01T01:00:00+01:00,0.70048422,0.0804897,0.03241146,0.81338539
2024-01-01T00:15:00Z,2024-01-01T01:15:00+01:00,0.63925817,0.07771943,0.03171037,0.74868797
2024-01-01T00:30:00Z,2024-01-01T01:30:00+01:00,0.58539942,0.07584647,0.02987619,0.69112207
2024-01-01T00:45:00Z,2024-01-01T01:45:00+01:00,0.54726929,0.0738936,0.02959578,0.65075867
2024-01-01T01:00:00Z,2024-01-01T02:00:00+01:00,0.51839523,0.07181362,0.03018604,0.62039489
2024-01-01T01:15:00Z,2024-01-01T02:15:00+01:00,0.50161102,0.06926675,0.03047691,0.60135469
2024-01-01T01:30:00Z,2024-01-01T02:30:00+01:00,0.48813931,0.06662094,0.02969075,0.584451
2024-01-01T01:45:00Z,2024-01-01T02:45:00+01:00,0.4774186,0.06478742,0.02934749,0.57155351
2024-01-01T02:00:00Z,2024-01-01T03:00:00+01:00,0.46846003,0.06297829,0.02967076,0.56110908
2024-01-01T02:15:00Z,2024-01-01T03:15:00+01:00,0.45790455,0.06230694,0.02793964,0.54815113
2024-01-01T02:30:00Z,2024-01-01T03:30:00+01:00,0.45098273,0.06218085,0.02772719,0.54089077
2024-01-01T02:45:00Z,2024-01-01T03:45:00+01:00,0.44251441,0.0609026,0.02754049,0.53095749
2024-01-01T03:00:00Z,2024-01-01T04:00:00+01:00,0.43472578,0.06066772,0.02720572,0.52259922
2024-01-01T03:15:00Z,2024-01-01T04:15:00+01:00,0.42891004,0.06119258,0.02725599,0.5173586
2024-01-01T03:30:00Z,2024-01-01T04:30:00+01:00,0.4258068,0.0617475,0.0270931,0.5146474
2024-01-01T03:45:00Z,2024-01-01T04:45:00+01:00,0.42207379,0.0616502,0.02723591,0.51095991
2024-01-01T04:00:00Z,2024-01-01T05:00:00+01:00,0.4244565,0.06227502,0.02861803,0.51534955
2024-01-01T04:15:00Z,2024-01-01T05:15:00+01:00,0.4261419,0.06475914,0.02918711,0.52008815
2024-01-01T04:30:00Z,2024-01-01T05:30:00+01:00,0.42799382,0.06589444,0.03013513,0.52402339
2024-01-01T04:45:00Z,2024-01-01T05:45:00+01:00,0.43459199,0.06775161,0.03331022,0.53565382
2024-01-01T05:00:00Z,2024-01-01T06:00:00+01:00,0.44169567,0.06996488,0.03845,0.55011055
2024-01-01T05:15:00Z,2024-01-01T06:15:00+01:00,0.45034437,0.07188806,0.0437177,0.56595013
2024-01-01T05:30:00Z,2024-01-01T06:30:00+01:00,0.45914211,0.07394082,0.04936181,0.58244474
2024-01-01T05:45:00Z,2024-01-01T06:45:00+01:00,0.47336346,0.07587331,0.05613217,0.60536894
2024-01-01T06:00:00Z,2024-01-01T07:00:00+01:00,0.48877239,0.07712085,0.06492132,0.63081456
2024-01-01T06:15:00Z,2024-01-01T07:15:00+01:00,0.5158584,0.07818194,0.07290286,0.6669432
2024-01-01T06:30:00Z,2024-01-01T07:30:00+01:00,0.56410094,0.07716936,0.08140047,0.72267077
2024-01-01T06:45:00Z,2024-01-01T07:45:00+01:00,0.64301147,0.07653907,0.0888575,0.80840805
2024-01-01T07:00:00Z,2024-01-01T08:00:00+01:00,0.76004306,0.07488479,0.10008914,0.93501699
2024-01-01T07:15:00Z,2024-01-01T08:15:00+01:00,0.89876252,0.07504098,0.10709146,1.08089496
2024-01-01T07:30:00Z,2024-01-01T08:30:00+01:00,1.04906803,0.07475729,0.11680724,1.24063256
2024-01-01T07:45:00Z,2024-01-01T08:45:00+01:00,1.20397903,0.07604835,0.11686287,1.39689024
2024-01-01T08:00:00Z,2024-01-01T09:00:00+01:00,1.34901113,0.07947861,0.11673371,1.54522346
2024-01-01T08:15:00Z,2024-01-01T09:15:00+01:00,1.4831273,0.08272451,0.11173561,1.67758741
2024-01-01T08:30:00Z,2024-01-01T09:30:00+01:00,1.60288244,0.08696678,0.1056782,1.79552741
2024-01-01T08:45:00Z,2024-01-01T09:45:00+01:00,1.70780706,0.09124296,0.10100057,1.90005059
2024-01-01T09:00:00Z,2024-01-01T10:00:00+01:00,1.80182807,0.09689867,0.0925994,1.99132615
2024-01-01T09:15:00Z,2024-01-01T10:15:00+01:00,1.8889935,0.10099511,0.08447043,2.07445904
2024-01-01T09:30:00Z,2024-01-01T10:30:00+01:00,1.97141434,0.10462635,0.07908344,2.15512413
2024-01-01T09:45:00Z,2024-01-01T10:45:00+01:00,2.05910403,0.10716629,0.07546491,2.24173523
2024-01-01T10:00:00Z,2024-01-01T11:00:00+01:00,2.15423405,0.10926871,0.07908638,2.34258915
2024-01-01T10:15:00Z,2024-01-01T11:15:00+01:00,2.2247936,0.10992272,0.07869438,2.41341069
2024-01-01T10:30:00Z,2024-01-01T11:30:00+01:00,2.28828038,0.1119733,0.07980446,2.48005814
2024-01-01T10:45:00Z,2024-01-01T11:45:00+01:00,2.33856561,0.11258733,0.08098543,2.53213837
2024-01-01T11:00:00Z,2024-01-01T12:00:00+01:00,2.35375444,0.1148641,0.07665884,2.54527738
2024-01-01T11:15:00Z,2024-01-01T12:15:00+01:00,2.33673265,0.11850916,0.07212273,2.52736453
2024-01-01T11:30:00Z,2024-01-01T12:30:00+01:00,2.29509001,0.11896585,0.06692984,2.4809857
2024-01-01T11:45:00Z,2024-01-01T12:45:00+01:00,2.21730643,0.11927506,0.06230417,2.39888566
2024-01-01T12:00:00Z,2024-01-01T13:00:00+01:00,2.10785804,0.1200462,0.05790683,2.28581106
2024-01-01T12:15:00Z,2024-01-01T13:15:00+01:00,1.98791606,0.12264752,0.05443159,2.16499517
2024-01-01T12:30:00Z,2024-01-01T13:30:00+01:00,1.85986462,0.12315941,0.05324985,2.03627388
2024-01-01T12:45:00Z,2024-01-01T13:45:00+01:00,1.75144623,0.12066592,0.05221891,1.92433107
2024-01-01T13:00:00Z,2024-01-01T14:00:00+01:00,1.6413025,0.117894,0.05296446,1.81216096
2024-01-01T13:15:00Z,2024-01-01T14:15:00+01:00,1.5402537,0.11093006,0.05154926,1.70273302
2024-01-01T13:30:00Z,2024-01-01T14:30:00+01:00,1.47039332,0.10974769,0.0536506,1.63379162
2024-01-01T13:45:00Z,2024-01-01T14:45:00+01:00,1.40441493,0.10600709,0.05294275,1.56336477
