timestamp_utc,timestamp_local,total_forecast_mwh,forecast_load_mw,hpfc_price_eur_mwh,day_ahead_price_eur_mwh,unhedged_day_ahead_cost_eur,coarse_cal_hedge_energy_mwh,coarse_cal_residual_da_mwh,coarse_cal_fixed_hedge_cost_eur,coarse_cal_da_shaping_cost_eur,coarse_cal_futures_payoff_eur,coarse_cal_effective_total_cost_eur,coarse_cal_financial_total_cost_eur,granular_hedge_energy_mwh,granular_residual_da_mwh,granular_fixed_hedge_cost_eur,granular_da_shaping_cost_eur,granular_futures_payoff_eur,granular_effective_total_cost_eur,granular_financial_total_cost_eur,timestamp,timestamp_local_plot
2024-01-14T23:00:00Z,2024-01-15T00:00:00+01:00,0.87548,3.50192,59.923133,67.9,59.44509200000001,1.0979940165427395,-0.2225140165427395,84.83101771809206,-15.108701723252013,-10.277223994840028,69.72231599484005,69.72231599484005,1.2609136542542183,-0.3854336542542182,94.97201643842772,-26.170945123861426,-9.355979314566284,68.80107131456629,68.80107131456629,2024-01-14 23:00:00+00:00,2024-01-15 00:00:00+01:00
2024-01-14T23:15:00Z,2024-01-15T00:15:00+01:00,0.7950379999999999,3.1801519999999996,59.923133,67.9,53.9830802,1.0979940165427395,-0.3029560165427396,84.83101771809206,-20.57071352325202,-10.277223994840028,64.26030419484003,64.26030419484002,1.2609136542542183,-0.4658756542542184,94.97201643842772,-31.632956923861432,-9.355979314566284,63.33905951456629,63.33905951456628,2024-01-14 23:15:00+00:00,2024-01-15 00:15:00+01:00
2024-01-14T23:30:00Z,2024-01-15T00:30:00+01:00,0.724607,2.898428,59.923133,67.9,49.2008153,1.0979940165427395,-0.3733870165427395,84.83101771809206,-25.352978423252015,-10.277223994840028,59.478039294840045,59.47803929484003,1.2609136542542183,-0.5363066542542183,94.97201643842772,-36.41522182386143,-9.355979314566284,58.556794614566286,58.556794614566286,2024-01-14 23:30:00+00:00,2024-01-15 00:30:00+01:00
2024-01-14T23:45:00Z,2024-01-15T00:45:00+01:00,0.664803,2.659212,59.923133,67.9,45.1401237,1.0979940165427395,-0.4331910165427395,84.83101771809206,-29.413670023252013,-10.277223994840028,55.417347694840046,55.41734769484003,1.2609136542542183,-0.5961106542542183,94.97201643842772,-40.47591342386142,-9.355979314566284,54.496103014566295,54.49610301456629,2024-01-14 23:45:00+00:00,2024-01-15 00:45:00+01:00
2024-01-15T00:00:00Z,2024-01-15T01:00:00+01:00,0.6201230000000001,2.4804920000000004,57.305607,65.0,40.307995000000005,1.0979940165427395,-0.4778710165427394,84.83101771809206,-31.061616075278064,-13.461406642813984,53.76940164281399,53.76940164281399,1.2609136542542183,-0.6407906542542182,94.97201643842772,-41.651392526524184,-13.01262891190352,53.32062391190353,53.320623911903525,2024-01-15 00:00:00+00:00,2024-01-15 01:00:00+01:00
2024-01-15T00:15:00Z,2024-01-15T01:15:00+01:00,0.5884179999999999,2.3536719999999995,57.305607,65.0,38.24716999999999,1.0979940165427395,-0.5095760165427397,84.83101771809206,-33.122441075278076,-13.461406642813984,51.70857664281398,51.70857664281397,1.2609136542542183,-0.6724956542542184,94.97201643842772,-43.7122175265242,-13.01262891190352,51.25979891190352,51.25979891190351,2024-01-15 00:15:00+00:00,2024-01-15 01:15:00+01:00
2024-01-15T00:30:00Z,2024-01-15T01:30:00+01:00,0.567227,2.268908,57.305607,65.0,36.869755000000005,1.0979940165427395,-0.5307670165427395,84.83101771809206,-34.49985607527807,-13.461406642813984,50.33116164281399,50.33116164281399,1.2609136542542183,-0.6936866542542183,94.97201643842772,-45.089632526524184,-13.01262891190352,49.88238391190353,49.88238391190352,2024-01-15 00:30:00+00:00,2024-01-15 01:30:00+01:00
2024-01-15T00:45:00Z,2024-01-15T01:45:00+01:00,0.552999,2.211996,57.305607,65.0,35.944935,1.0979940165427395,-0.5449950165427395,84.83101771809206,-35.42467607527807,-13.461406642813984,49.406341642813985,49.406341642813985,1.2609136542542183,-0.7079146542542183,94.97201643842772,-46.01445252652419,-13.01262891190352,48.95756391190353,48.95756391190352,2024-01-15 00:45:00+00:00,2024-01-15 01:45:00+01:00
2024-01-15T01:00:00Z,2024-01-15T02:00:00+01:00,0.543357,2.173428,58.299427,63.94,34.74224658,1.0979940165427395,-0.5546370165427396,84.83101771809206,-35.46349083774277,-14.625280300349289,49.36752688034929,49.36752688034929,1.2609136542542183,-0.7175566542542183,94.97201643842772,-45.88057247301472,-14.349197385413008,49.091443965413,49.091443965413006,2024-01-15 01:00:00+00:00,2024-01-15 02:00:00+01:00
2024-01-15T01:15:00Z,2024-01-15T02:15:00+01:00,0.536318,2.145272,58.299427,63.94,34.29217292,1.0979940165427395,-0.5616760165427396,84.83101771809206,-35.91356449774277,-14.625280300349289,48.91745322034929,48.91745322034929,1.2609136542542183,-0.7245956542542183,94.97201643842772,-46.33064613301472,-14.349197385413008,48.641370305413,48.641370305413005,2024-01-15 01:15:00+00:00,2024-01-15 02:15:00+01:00
2024-01-15T01:30:00Z,2024-01-15T02:30:00+01:00,0.533054,2.132216,58.299427,63.94,34.08347276,1.0979940165427395,-0.5649400165427395,84.83101771809206,-36.12226465774276,-14.625280300349289,48.708753060349295,48.70875306034929,1.2609136542542183,-0.7278596542542183,94.97201643842772,-46.53934629301472,-14.349197385413008,48.432670145413,48.432670145413006,2024-01-15 01:30:00+00:00,2024-01-15 02:30:00+01:00
