month,day_ahead_eur_mwh,imbalance_eur_mwh
1,76.57114247311829,87.0107997311828
2,61.335847701149426,60.41488505747127
3,64.70199192462988,63.503203230148046
4,62.360819444444445,52.96622222222222
5,67.21001344086021,60.873797043010754
6,72.88772222222222,116.85501041666666
7,67.69702956989246,79.40570900537635
8,82.04717741935484,93.38353494623657
9,78.30997222222223,84.20399652777778
10,86.09655033557047,86.06475838926175
11,113.90644444444445,115.03488194444445
12,108.31559139784946,128.72102150537634
